mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
741,15706,王礪,cluster1_song_and_before,12,8.576549076160537e-07,0.5,0.005758974769502852,1,0,0
742,15751,齊恢,cluster1_song_and_before,31,9.987183209294098e-08,0.9655913978494624,0.012700619075831678,1,0,0
743,15752,王沖,cluster1_song_and_before,17,3.0790689396502036e-06,0.6985294117647058,0.008891107521659057,1,0,0
744,15760,程莊,cluster1_song_and_before,2,0.0,1.0,0.002172747213924951,1,0,0
745,15773,程元岳,cluster1_song_and_before,15,0.00016434616749638902,0.638095238095238,0.0034125806110525845,1,0,0
746,15791,季鏞,cluster1_song_and_before,13,0.00034328038222803005,0.717948717948718,0.004568830343345712,1,0,0
747,15806,上官渙酉,cluster1_song_and_before,12,1.3577074912571167e-05,0.8333333333333334,0.0029153643363982506,1,0,0
748,15848,戚維,cluster1_song_and_before,10,1.971190315151425e-06,0.6444444444444445,0.0026747941685888793,1,0,0
749,15849,戚舜臣,cluster1_song_and_before,29,5.472862404030166e-06,0.9310344827586207,0.010531202218257287,1,0,0
750,15853,齊唐,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
751,15862,魏咸熙,cluster1_song_and_before,2,0.0,1.0,0.00013759838039328266,1,0,0
752,15883,時旦,cluster1_song_and_before,5,3.2668256219948295e-06,0.8,0.0038052659487129324,1,0,0
753,15884,時汝賢,cluster1_song_and_before,30,9.084847099674029e-07,0.8528735632183908,0.014919388771248973,1,0,0
754,15885,晁仲綽,cluster1_song_and_before,4,1.5562624999003993e-08,0.6666666666666666,0.0018040872162081163,1,0,0
755,15940,孔陶,cluster1_song_and_before,4,0.0,1.0,0.0014696000011766765,1,0,0
756,16040,吳淵,cluster1_song_and_before,50,0.0001199660796069426,0.6751020408163265,0.017727499995775765,1,0,0
757,16098,姜從簡,cluster1_song_and_before,46,5.396192778316703e-06,0.957487922705314,0.023872975406969314,1,0,0
758,16100,姜正顏,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
759,16101,魏峻,cluster1_song_and_before,1,0.0,0.0,1.3812730982369328e-05,1,0,0
760,16132,蔣鎮,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
761,16134,蔣渙,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
762,16147,蔣峴,cluster1_song_and_before,1,0.0,0.0,0.0002174551190436186,1,0,0
763,16153,蔣曉,cluster1_song_and_before,2,0.0,1.0,0.00014874586560894405,1,0,0
764,16173,錢冶,cluster1_song_and_before,136,1.9640730637002643e-05,0.7101307189542484,0.07602114543383963,1,0,0
765,16239,錢延年,cluster1_song_and_before,6,7.567877608454481e-07,0.7333333333333333,0.0020375095674181006,1,0,0
